Stockpile Title	Stockpile Name	Structure Type	Quantity	Name	Crated?	Per Crate	Total	Description	CodeName
TheManacle	Public	Seaport	61	Soldier Supplies	true	10	610	A standard issue set of supplies for foot soldiers. Bases must be stockpiled with Soldier Supplies in order for players to spawn.	SoldierSupplies
TheManacle	Public	Seaport	7	Maintenance Supplies	true	100	700	Supplies for maintaining structures. Store at Bases or Maintenance Tunnels to prevent decay on surrounding structures.	MaintenanceSupplies
TheManacle	Public	Seaport	120	Basic Materials	true	100	12000	Resource used for building basic structures and producing items.	Cloth
TheManacle	Public	Seaport	100	14.5mm	true	10	1000	Standard ammunition for anti-tank rifles.	ATRifleAmmo
TheManacle	Public	Seaport	72	9mm	true	40	2880	Standard ammunition for submachine guns.	SMGAmmo
TheManacle	Public	Seaport	68	Blakerow 871	true	20	1360	The Blakerow is a carbine with a high rate of fire compared to its bolt-action predecessor. This increased fire rate does come at the cost of innate stopping power; however, its versatility and lightweight frame more than make up for any perceived shortcomings.	RifleLightW
TheManacle	Public	Seaport	43	Mammon 91-b	true	20	860	This densely packed, high-explosive grenade is designed to damage structures and vehicles. 	HEGrenade
TheManacle	Public	Seaport	40	7.92mm	true	30	1200	Standard ammunition for Storm Rifles and Armoured Cars.	AssaultRifleAmmo
TheManacle	Public	Seaport	39	12.7mm	true	20	780	Standard ammunition for machine guns.	MGAmmo
TheManacle	Public	Seaport	30	Fiddler Submachine Gun Model 868	true	20	600	The Fiddler Submachine Gun is a widely used urban combat weapon. Its high rate of fire and compact frame make it ideal for close-quarters engagements.	SMGW
TheManacle	Public	Seaport	26	Gravel	true	20	520	Resource used for building Roads and Foundations.	GroundMaterials
TheManacle	Public	Seaport	22	Bandages	true	50	1100	Used to stem bleeding.	Bandages
TheManacle	Public	Seaport	22	First Aid Kit	true	10	220	Used by medics to heal other soldiers.	FirstAidKit
TheManacle	Public	Seaport	18	Green Ash Grenade	true	10	180	Green Ash is an asphyxiating toxin. Inhaling it without protection will result in a quick death. Be sure to wear a gas mask with fresh filters when handling Green Ash.	GreenAsh
TheManacle	Public	Seaport	18	7.62mm	true	40	720	Standard ammunition for rifles.	RifleAmmo
TheManacle	Public	Seaport	18	Sampo Auto-Rifle 77	true	20	360	The precursor to the storm rifle, the Sampo Auto-Rifle, is a mastercraft of its day. With a single shot and automatic fire mode, this versatile rifle may not reach the fire rates of automatic weapons but more than makes up for it with utility.	RifleAutomaticW
TheManacle	Public	Seaport	17	20 Neville Anti-Tank Rifle	true	3	51	The Neville is unmatched in its versatility as a portable, magazine-based anti-armour firearm.	ATRifleW
TheManacle	Public	Seaport	16	Gas Mask Filter	true	20	320	When attached to a Gas Mask, this filter provides fresh air to the wearer.	GasMaskFilter
TheManacle	Public	Seaport	14	30mm	true	20	280	Standard explosive shell used with certain small vehicles and infantry weapons.	MiniTankAmmo
TheManacle	Public	Seaport	13	Metal Beam	true	5	65	Used to construct Metal Beam defenses.	MetalBeamMaterials
TheManacle	Public	Seaport	13	Radio	true	5	65	Allows receiving map intelligence reports on detected ground and naval targets.	Radio
TheManacle	Public	Seaport	13	No.1 “The Liar” Submachinegun	true	20	260	This unique, heavy-duty submachine gun is not very useful on the run, but with careful aim and adequate cover, becomes a razorblade in the night.	SMGHeavyW
TheManacle	Public	Seaport	12	Anti-Tank Sticky Bomb	true	10	120	An adherable grenade designed to penetrate heavy tank armor. The Sticky Bomb can only be thrown a short distance and is ineffective against structures.	StickyBomb
TheManacle	Public	Seaport	11	Caoivish Parka	true	15	165	Born and bred in the northern cold, this heavy parka protects Warden infantry from all but the worst blizzards.	SnowUniformW
TheManacle	Public	Seaport	11	Buckshot	true	40	440	Standard ammunition for Shotguns.	ShotgunAmmo
TheManacle	Public	Seaport	10	A3 Harpa Fragmentation Grenade	true	20	200	This anti-personnel fragmentation grenade is designed with pull-pin mechanics and a timed fuse for user safety. Serrations in the casing allow for a better grip and increased fragmentation effectiveness.	GrenadeW
TheManacle	Public	Seaport	10	Buckhorn CCQ-18	true	20	200	Attached to the barrel of a rifle, this short blade can spear enemies in close quarters encounters.	Bayonet
TheManacle	Public	Seaport	9	Physician’s Jacket	true	15	135	Physicians in the Warden army are unmatched and this uniform has a plethora of pockets and bags designed to carry and deploy first aid gear easily.	MedicUniformW
TheManacle	Public	Seaport	9	Cremari Mortar	true	5	45	This short-range cannon is designed to bombard enemy infantry with indirect fire.	Mortar
TheManacle	Public	Seaport	8	Tripod	true	5	40	A mount point for deployable infantry weapons and equipment.	Tripod
TheManacle	Public	Seaport	8	Blood Plasma	true	50	400	A blood component used to treat wounded soldiers on the battlefield.	BloodPlasma
TheManacle	Public	Seaport	7	The Hangman 757	true	20	140	The weapon of choice for pirates and smugglers, its legend is well-earned. With incredibly high stopping power and unique revolver mechanism, the Hangman often plays judge, jury, and executioner.	RifleHeavyW
TheManacle	Public	Seaport	6	Alligator Charge	true	10	60	This heavy-duty explosive device is designed to deal significant damage to fortified structures and stationary vehicles. 	SatchelChargeW
TheManacle	Public	Seaport	6	Binoculars	true	5	30	An optical instrument used for viewing distant objects.	Binoculars
TheManacle	Public	Seaport	6	Trauma Kit	true	10	60	Used by medics to revive wounded soldiers.	TraumaKit
