Stockpile Title	Stockpile Name	Structure Type	Quantity	Name	Crated?	Per Crate	Total	Description	CodeName
Remote_Tine_Report	Public	Seaport	4	Soldier Supplies	true	10	40	A standard issue set of supplies for foot soldiers. Bases must be stockpiled with Soldier Supplies in order for players to spawn.	SoldierSupplies
Remote_Tine_Report	Public	Seaport	23	Maintenance Supplies	true	100	2300	Supplies for maintaining structures. Store at Bases or Maintenance Tunnels to prevent decay on surrounding structures.	MaintenanceSupplies
Remote_Tine_Report	Public	Seaport	229	7.62mm	true	40	9160	Standard ammunition for rifles.	RifleAmmo
Remote_Tine_Report	Public	Seaport	140	Physician’s Jacket	true	15	2100	Physicians in the Warden army are unmatched and this uniform has a plethora of pockets and bags designed to carry and deploy first aid gear easily.	MedicUniformW
Remote_Tine_Report	Public	Seaport	60	14.5mm	true	10	600	Standard ammunition for anti-tank rifles.	ATRifleAmmo
Remote_Tine_Report	Public	Seaport	57	Binoculars	true	5	285	An optical instrument used for viewing distant objects.	Binoculars
Remote_Tine_Report	Public	Seaport	56	Processed Construction Materials	true	1	56	Refined metal bars needed to produce advanced structures, vehicles, and equipment at Facilities.	FacilityMaterials2
Remote_Tine_Report	Public	Seaport	55	20 Neville Anti-Tank Rifle	true	3	165	The Neville is unmatched in its versatility as a portable, magazine-based anti-armour firearm.	ATRifleW
Remote_Tine_Report	Public	Seaport	49	Buckhorn CCQ-18	true	20	980	Attached to the barrel of a rifle, this short blade can spear enemies in close quarters encounters.	Bayonet
Remote_Tine_Report	Public	Seaport	44	Gunner’s Breastplate	true	5	220	Repurposed from ancient wars, these armour plates are highly effective at stopping enemy small arms fire. That protection comes at the cost of weight, and the wearer will feel quite restricted and encumbered. 	ArmourUniformW
Remote_Tine_Report	Public	Seaport	40	Basic Materials	true	100	4000	Resource used for building basic structures and producing items.	Cloth
Remote_Tine_Report	Public	Seaport	38	Barbed Wire	true	5	190	Used to construct Barbed Wire defenses.	BarbedWireMaterials
Remote_Tine_Report	Public	Seaport	34	120mm	true	5	170	Payload for light artillery weapons.	LightArtilleryAmmo
Remote_Tine_Report	Public	Seaport	33	Diesel	true	1	33	Common fuel used to power all vehicles and resource mines.	Diesel
